Year,Primary Type,Arrest_Rate
2012,CRIMINAL DAMAGE,0.06869334820806024
2012,DECEPTIVE PRACTICE,0.2158085569253082
2012,MOTOR VEHICLE THEFT,0.05263796240145543
2012,NARCOTICS,0.992645608498408
2012,OTHER OFFENSE,0.157783611047706
2012,ROBBERY,0.10271432809255414
2012,THEFT,0.10932365101240327
2013,ASSAULT,0.24855330514133095
2013,BATTERY,0.23938080953968077
2013,BURGLARY,0.061696658097686374
2013,CRIMINAL DAMAGE,0.06828493647912885
2013,DECEPTIVE PRACTICE,0.1807557180755718
2013,MOTOR VEHICLE THEFT,0.06628516928946114
2013,NARCOTICS,0.990975416800961
2013,OTHER OFFENSE,0.18913079607777963
2013,ROBBERY,0.11269989000761486
2013,THEFT,0.10801554462089018
2014,ASSAULT,0.26669821925102055
2014,BATTERY,0.2531998786775857
2014,BURGLARY,0.06246139062392752
2014,CRIMINAL DAMAGE,0.07536242310874491
2014,DECEPTIVE PRACTICE,0.11103469834323226
2014,MOTOR VEHICLE THEFT,0.0769851679951569
2014,NARCOTICS,0.9960162099045264
2014,OTHER OFFENSE,0.24512338425381905
2014,ROBBERY,0.10724489795918367
2014,THEFT,0.12056392015462326
2015,ASSAULT,0.2382097606757391
2015,BATTERY,0.23639299364359148
2015,BURGLARY,0.05521844660194175
2015,CRIMINAL DAMAGE,0.06398856226244028
2015,DECEPTIVE PRACTICE,0.06179128009217149
2015,MOTOR VEHICLE THEFT,0.09962256654747716
2015,NARCOTICS,0.9996658172856009
2015,OTHER OFFENSE,0.27308436752817944
2015,ROBBERY,0.09701182818012036
2015,THEFT,0.11814551985074886
2016,ASSAULT,0.18641626207117323
2016,BATTERY,0.20546719681908548
2016,BURGLARY,0.048848764784099656
2016,CRIMINAL DAMAGE,0.053807466632278034
2016,DECEPTIVE PRACTICE,0.04289682131467956
2016,MOTOR VEHICLE THEFT,0.0972972972972973
2016,NARCOTICS,0.9995499887497188
2016,OTHER OFFENSE,0.1973539776994627
2016,ROBBERY,0.08244147157190636
